FID,UACE10,AFFGEOID10,GEOID10,NAME10,LSAD10,UATYP10,ALAND10,AWATER10,Latitude,Longitude,Area
2090,37648,400C100US37648,37648,"Havana, IL",76,C,5830997.000000000000000,0.000000000000000,40.294885614000002,-90.061424880199993,5.831695073870000
2091,89461,400C100US89461,89461,"Union, MO",76,C,13571977.000000000000000,0.000000000000000,38.448851468699999,-91.000726083299995,13.519050288100001
2092,92350,400C100US92350,92350,"Washington, MO",76,C,17963892.000000000000000,81188.000000000000000,38.545184911000000,-91.009920011500000,17.997639688800000
2093,32302,400C100US32302,32302,"Galena, KS--MO",76,C,4080729.000000000000000,12078.000000000000000,37.069952361399999,-94.631625894899997,4.052921213220000
2094,36406,400C100US36406,36406,"Hamilton, MT",76,C,10896502.000000000000000,9471.000000000000000,46.239400772800003,-114.155661503000000,10.881941300599999
2095,02965,400C100US02965,02965,"Archer Lodge--Clayton, NC",76,C,52423950.000000000000000,440411.000000000000000,35.664083351000002,-78.370059502499998,52.832352950800001
2096,17514,400C100US17514,17514,"Clearlake Riviera, CA",76,C,7974635.000000000000000,4029.000000000000000,38.959503414799997,-122.731028436000000,7.952671345470000
2097,18712,400C100US18712,18712,"Colfax, CA",76,C,6269094.000000000000000,0.000000000000000,39.075111337099997,-120.963935062000000,6.187520318180000
2098,83073,400C100US83073,83073,"Sonora--Jamestown--Phoenix Lake, CA",76,C,80816255.000000000000000,559492.000000000000000,37.999410339999997,-120.319243607999990,81.348686445699997
2099,37567,400C100US37567,37567,"Hastings, NE",76,C,22483634.000000000000000,410827.000000000000000,40.598564064599998,-98.403352200200004,23.218082037300000
2100,86761,400C100US86761,86761,"Taylorsville, NC",76,C,17380158.000000000000000,46323.000000000000000,35.902795632500002,-81.148035252400007,17.402639798500001
2101,18208,400C100US18208,18208,"Clovis, NM",76,C,58322298.000000000000000,239845.000000000000000,34.412684867599999,-103.227604047000000,58.529993763699999
2102,20827,400C100US20827,20827,"Craig, CO",76,C,14752559.000000000000000,0.000000000000000,40.521164314400004,-107.555327404000000,14.804035055800000
2103,56494,400C100US56494,56494,"Metter, GA",76,C,7793110.000000000000000,42158.000000000000000,32.398687864599999,-82.061755875499998,7.844890970970000
2104,79741,400C100US79741,79741,"Savanna, IL--IA",76,C,5095747.000000000000000,2562715.000000000000000,42.089567858400002,-90.152257268100001,7.700093160350000
2105,03520,400C100US03520,03520,"Aspen, CO",76,C,11838622.000000000000000,0.000000000000000,39.203151694200002,-106.838915672000000,11.713982401699999
2106,18532,400C100US18532,18532,"Colby, KS",76,C,7751911.000000000000000,0.000000000000000,39.384096240300003,-101.045888944000000,7.738968042520000
2107,43102,400C100US43102,43102,"Jesup, GA",76,C,27781655.000000000000000,110721.000000000000000,31.623518189100000,-81.895170604000000,27.813326922200002
2108,10567,400C100US10567,10567,"Brookfield, MO",76,C,7607997.000000000000000,17861.000000000000000,39.785572051599999,-93.075405829000005,7.605949589280000
2109,55927,400C100US55927,55927,"Mecca, CA",76,C,10107966.000000000000000,0.000000000000000,33.556485210399998,-116.090406292000000,10.092656234600000
2110,56629,400C100US56629,56629,"Miami, OK",76,C,20771778.000000000000000,46946.000000000000000,36.888570603399998,-94.869852294200001,20.796106147800000
2111,27070,400C100US27070,27070,"Ellsworth, ME",76,C,7225146.000000000000000,90163.000000000000000,44.535534863899997,-68.425267217599995,7.339712414890000
2112,63579,400C100US63579,63579,"North Conway, NH",76,C,20228745.000000000000000,149300.000000000000000,44.022697759800003,-71.117137761899997,20.310423111599999
2113,59605,400C100US59605,59605,"Moundville, AL",76,C,8051108.000000000000000,16847.000000000000000,33.000049840300001,-87.613482730800001,8.092909048910000
2114,60473,400C100US60473,60473,"Mount Vernon, TX",76,C,7363760.000000000000000,17072.000000000000000,33.175706351599999,-95.223688864200000,7.465334907320000
2115,40537,400C100US40537,40537,"Hudson, NY",76,C,14713944.000000000000000,197838.000000000000000,42.280314787400002,-73.767583229799996,14.870655181300000
2116,41941,400C100US41941,41941,"Itta Bena, MS",76,C,4248182.000000000000000,0.000000000000000,33.500330407600003,-90.331359249800002,4.186425919960000
2117,16318,400C100US16318,16318,"Chico, CA",75,U,89120313.000000000000000,137474.000000000000000,39.748859803899997,-121.838769131000010,89.388688513800005
2118,35677,400C100US35677,35677,"Gridley, CA",76,C,11682921.000000000000000,0.000000000000000,39.359664200399997,-121.683064586000000,11.606925190000000
2119,85870,400C100US85870,85870,"Susanville, CA",76,C,13783801.000000000000000,102703.000000000000000,40.408849545700001,-120.633279844000000,13.838260469200000
2120,47287,400C100US47287,47287,"Lamar, CO",76,C,12583888.000000000000000,65094.000000000000000,38.081527241000003,-102.620548932000010,12.666107826999999
2121,70480,400C100US70480,70480,"Poinciana, FL",76,C,44144066.000000000000000,438461.000000000000000,28.153424662999999,-81.473214253099997,44.538395151200000
2122,16696,400C100US16696,16696,"Chowchilla, CA",76,C,11818107.000000000000000,0.000000000000000,37.108359133000000,-120.243613858000000,11.970557570900000
2123,96913,400C100US96913,96913,"Woodburn, OR",76,C,30179689.000000000000000,17273.000000000000000,45.159798318999997,-122.842588886000000,30.145029098599998
2124,58249,400C100US58249,58249,"Monmouth--Independence, OR",76,C,14037561.000000000000000,50801.000000000000000,44.852565408799997,-123.212004988999990,14.089358805000000
2125,81577,400C100US81577,81577,"Sheridan, OR",76,C,8315595.000000000000000,158433.000000000000000,45.090613161599997,-123.429469062000000,8.426491974039999
2126,87463,400C100US87463,87463,"Thomson, GA",76,C,15976310.000000000000000,68342.000000000000000,33.474864119999999,-82.503616069800003,15.958526086899999
2127,15083,400C100US15083,15083,"Centre, AL",76,C,26419767.000000000000000,6177663.000000000000000,34.180217339300000,-85.674016312999996,32.498208382999998
2128,19060,400C100US19060,19060,"Columbiana, AL",76,C,6969359.000000000000000,25016.000000000000000,33.173854293900000,-86.609571386599995,7.088968150340000
2129,67231,400C100US67231,67231,"Paloma Creek South--Paloma Creek, TX",76,C,3006991.000000000000000,0.000000000000000,33.216222177600002,-96.938533175800004,3.075806384150000
2130,90122,400C100US90122,90122,"Van, TX",76,C,6253034.000000000000000,3902.000000000000000,32.528301336200002,-95.638181513199996,6.230152488620000
2131,05410,400C100US05410,05410,"Basalt--El Jebel, CO",76,C,10423375.000000000000000,23798.000000000000000,39.372232025000002,-107.068884310000000,10.414906686000000
2132,19450,400C100US19450,19450,"Commerce, GA",76,C,16469081.000000000000000,44354.000000000000000,34.220661546599999,-83.464074326000002,16.464069602799999
2133,41995,400C100US41995,41995,"Jacksboro, TX",76,C,5663197.000000000000000,23688.000000000000000,33.226783660199999,-98.169138031299994,5.751673279210000
2134,64432,400C100US64432,64432,"Oakhurst, CA",76,C,9723360.000000000000000,0.000000000000000,37.332081606300001,-119.639802200999990,9.699284856269999
2135,89299,400C100US89299,89299,"Tybee Island, GA",76,C,7394679.000000000000000,422744.000000000000000,32.008136641400000,-80.857684709400004,8.137747557770000
2136,58546,400C100US58546,58546,"Monte Vista, CO",76,C,5444621.000000000000000,46479.000000000000000,37.578942988100003,-106.139690829000000,5.590360525280000
2137,45613,400C100US45613,45613,"Knoxville, IA",76,C,8449851.000000000000000,0.000000000000000,41.319946094199999,-93.101509411600006,8.478438835420000
2138,68347,400C100US68347,68347,"Pella, IA",76,C,16206046.000000000000000,0.000000000000000,41.402587547099998,-92.922010125699998,16.280035165800001
2139,20071,400C100US20071,20071,"Cordele, GA",76,C,19478224.000000000000000,51235.000000000000000,31.964409869099999,-83.773641626800000,19.566917340300002
2140,02153,400C100US02153,02153,"Amouli, AS",76,C,12144007.000000000000000,0.000000000000000,-14.265062740699999,-170.594195842999990,12.191199493099999
2141,34470,400C100US34470,34470,"Granite Falls, WA",76,C,12266842.000000000000000,364027.000000000000000,48.099081325800000,-121.965115039000000,12.644079029500000
2142,58469,400C100US58469,58469,"Montesano--Elma, WA",76,C,14316963.000000000000000,83447.000000000000000,46.998285807700000,-123.489985313999990,14.382493848899999
2143,90182,400C100US90182,90182,"Vandenberg AFB, CA",76,C,4649544.000000000000000,0.000000000000000,34.739031540299997,-120.533721156000000,4.529845708260000
2144,39712,400C100US39712,39712,"Homesteads Addition, TX",76,C,20410870.000000000000000,0.000000000000000,32.473480668199997,-97.160157610799999,20.320818795299999
2145,28262,400C100US28262,28262,"Eureka, MO",76,C,25481420.000000000000000,227.000000000000000,38.500070119999997,-90.640600848099993,25.360933617299999
2146,90851,400C100US90851,90851,"Virden, IL",76,C,6348878.000000000000000,0.000000000000000,39.516743944799998,-89.768384564399994,6.380879551690000
2147,66740,400C100US66740,66740,"Pacific, MO",76,C,25580335.000000000000000,0.000000000000000,38.476285214999997,-90.814889187000006,25.638469347200001
2148,03871,400C100US03871,03871,"Atlantic, IA",76,C,7301332.000000000000000,72792.000000000000000,41.401381467199997,-95.007427821099995,7.358544461870000
2149,10378,400C100US10378,10378,"Bristow, OK",76,C,4773083.000000000000000,9109.000000000000000,35.828451603300003,-96.395089487500002,4.791108287800000
2150,54010,400C100US54010,54010,"Mannford, OK",76,C,7492054.000000000000000,822526.000000000000000,36.128885535499997,-96.342478531400005,8.185352592679999
2151,94132,400C100US94132,94132,"West Jefferson, OH",76,C,4089023.000000000000000,0.000000000000000,39.939506628399997,-83.296692473799993,4.047935805890000
2152,35542,400C100US35542,35542,"Greenwood, AR",76,C,16398698.000000000000000,376607.000000000000000,35.214477629800001,-94.255660934299996,16.811338239299999
2153,17344,400C100US17344,17344,"Clarksville, TX",76,C,7246418.000000000000000,0.000000000000000,33.610922115199998,-95.056186826399994,7.171331802870000
2154,33625,400C100US33625,33625,"Glenwood, IA",76,C,11062542.000000000000000,24962.000000000000000,41.044585874900001,-95.759550050200005,11.121158288600000
2155,25714,400C100US25714,25714,"Eastman, GA",76,C,14617359.000000000000000,135191.000000000000000,32.194097627100000,-83.175445998900003,14.737139929400000
2156,16453,400C100US16453,16453,"Chillicothe, OH",76,C,44685991.000000000000000,377635.000000000000000,39.347835986900002,-83.008099298999994,45.025163064200001
2157,66093,400C100US66093,66093,"Osburn, ID",76,C,3216543.000000000000000,20.000000000000000,47.494638592000001,-115.976534476000000,3.173954387430000
2158,69034,400C100US69034,69034,"Phelan, CA",76,C,37868776.000000000000000,0.000000000000000,34.434190919300001,-117.552525325999990,37.871652239500001
2159,63851,400C100US63851,63851,"North Shore, CA",76,C,4201963.000000000000000,0.000000000000000,33.531682215300002,-115.932462957000000,4.187499824810000
2160,52341,400C100US52341,52341,"Lytle, TX",76,C,10894770.000000000000000,131980.000000000000000,29.219372954299999,-98.806591536400006,11.032486450800000
2161,54050,400C100US54050,54050,"Manor, TX",76,C,9535111.000000000000000,0.000000000000000,30.357461191199999,-97.530577786199999,9.607943498699999
2162,86210,400C100US86210,86210,"Sylvan Beach, NY",76,C,8918653.000000000000000,66677.000000000000000,43.175105337399998,-75.788339673699994,9.055541374880001
2163,30858,400C100US30858,30858,"Fort Plain, NY",76,C,9757881.000000000000000,363363.000000000000000,42.916948971200000,-74.597627191100003,10.096339335200000
2164,00450,400C100US00450,00450,"Adams, NY",76,C,5100415.000000000000000,13914.000000000000000,43.833652475400001,-76.016629828700005,5.044226270810000
2165,32720,400C100US32720,32720,"Gautier, MS",76,C,7940764.000000000000000,51720.000000000000000,30.452706019899999,-88.639820826199994,7.943995891620000
2166,51499,400C100US51499,51499,"Los Lunas, NM",75,U,179195446.000000000000000,1485840.000000000000000,34.746929487899997,-106.687843904000000,180.547908876000010
2167,75934,400C100US75934,75934,"Rockville, IN",76,C,12024227.000000000000000,22328.000000000000000,39.773872679800000,-87.247300862499998,12.063698271800000
2168,18019,400C100US18019,18019,"Clinton, OK",76,C,9133613.000000000000000,0.000000000000000,35.508603531200002,-98.973393857100007,9.151812016559999
2169,67780,400C100US67780,67780,"Parsons, KS",76,C,14176974.000000000000000,58776.000000000000000,37.341672901400003,-95.265935821300005,14.229330442400000
2170,01549,400C100US01549,01549,"Alliance, OH",76,C,45856811.000000000000000,276797.000000000000000,40.922094041100003,-81.089331211800001,46.087818969899999
2171,02575,400C100US02575,02575,"Anna, IL",76,C,10306981.000000000000000,47210.000000000000000,37.460571546600001,-89.248065796700004,10.292120636700000
2172,58951,400C100US58951,58951,"Montrose, CO",76,C,46583337.000000000000000,0.000000000000000,38.490038420899999,-107.871510846000010,46.483190461500001
2173,38323,400C100US38323,38323,"Henderson, TX",76,C,22975275.000000000000000,142220.000000000000000,32.157763836299999,-94.799267626000002,23.148793183599999
2174,51904,400C100US51904,51904,"Lucasville, OH",76,C,5446111.000000000000000,13259.000000000000000,38.871236161600002,-82.980412688399994,5.370453253010000
2175,71398,400C100US71398,71398,"Portola, CA",76,C,3746093.000000000000000,4955.000000000000000,39.810672469700002,-120.477863239000000,3.742907861910000
2176,40189,400C100US40189,40189,"Horseshoe Bay, TX",76,C,8072954.000000000000000,161799.000000000000000,30.545521615399998,-98.354145273499995,8.243088670560001
2177,27991,400C100US27991,27991,"Estrella, AZ",76,C,18893188.000000000000000,0.000000000000000,33.337710766299999,-112.462636773000000,18.837524928299999
2178,43253,400C100US43253,43253,"Johnstown, CO",76,C,15473991.000000000000000,154849.000000000000000,40.325265013799999,-104.907732498000000,15.617280514300001
2179,05904,400C100US05904,05904,"Bayfield, CO",76,C,4726288.000000000000000,0.000000000000000,37.232156987800003,-107.606351368000010,4.688748736460000
2180,65161,400C100US65161,65161,"Olean, NY",76,C,35662854.000000000000000,682826.000000000000000,42.089863960899997,-78.419770593300001,36.461456501900003
2181,78067,400C100US78067,78067,"Salamanca, NY",76,C,8325596.000000000000000,389986.000000000000000,42.159549470700000,-78.714422087399996,8.746119292990001
2182,36001,400C100US36001,36001,"Gunnison, CO",76,C,8341192.000000000000000,0.000000000000000,38.542918320900000,-106.937630385000010,8.353727726660001
2183,35785,400C100US35785,35785,"Grove, OK",76,C,22050954.000000000000000,2808565.000000000000000,36.594507909900003,-94.791384746399999,24.760445691400001
2184,81982,400C100US81982,81982,"Siloam Springs, AR--OK",76,C,37285306.000000000000000,214410.000000000000000,36.203802577899999,-94.541894745999997,37.443801291400000
2185,20152,400C100US20152,20152,"Cornelia--Baldwin, GA",76,C,50549396.000000000000000,198960.000000000000000,34.521797788199997,-83.549836409400001,50.581828763799997
2186,92917,400C100US92917,92917,"Wauchula, FL",76,C,26478627.000000000000000,3777.000000000000000,27.563571723700001,-81.813180816200003,26.546774125799999
2187,08191,400C100US08191,08191,"Blakely, GA",76,C,7958937.000000000000000,0.000000000000000,31.374761462500000,-84.935583319499997,7.939414895470000
2188,85492,400C100US85492,85492,"Sullivan City, TX",76,C,9131912.000000000000000,0.000000000000000,26.280145877700001,-98.563333035499994,9.167360613560000
2189,75089,400C100US75089,75089,"Rio Rico Northeast, AZ",76,C,4578815.000000000000000,0.000000000000000,31.483062350299999,-110.978658919000000,4.581519338300000
2190,30755,400C100US30755,30755,"Fort Lupton, CO",76,C,13796353.000000000000000,0.000000000000000,40.080932017899997,-104.789674305999990,13.777639391599999
2191,26275,400C100US26275,26275,"Edwards, CO",76,C,22005200.000000000000000,404187.000000000000000,39.641124066200000,-106.552376053000000,22.332421888599999
2192,80704,400C100US80704,80704,"Severance, CO",76,C,4030106.000000000000000,0.000000000000000,40.528151052500000,-104.853537625000000,4.005037633720000
2193,62326,400C100US62326,62326,"Newfane, NY",76,C,12541704.000000000000000,0.000000000000000,43.300241126400003,-78.753671978900002,12.801707733800001
2194,55090,400C100US55090,55090,"Marshalltown, IA",76,C,29654266.000000000000000,21405.000000000000000,42.039083944900000,-92.914331193300001,29.596405634400000
2195,13294,400C100US13294,13294,"Canton, IL",76,C,16710975.000000000000000,0.000000000000000,40.566887115000000,-90.036748524100005,16.651548456099999
2196,00496,400C100US00496,00496,"Adel, IA",76,C,4596484.000000000000000,0.000000000000000,41.613764285599999,-94.022047072700005,4.592548546410000
2197,54658,400C100US54658,54658,"Marion, OH",76,C,71883260.000000000000000,141562.000000000000000,40.582406140600000,-83.119974477400007,72.004852642299994
2198,00334,400C100US00334,00334,"Abingdon, IL",76,C,3739680.000000000000000,0.000000000000000,40.804058835799999,-90.401885275300003,3.737038394650000
2199,32329,400C100US32329,32329,"Galesburg, IL",76,C,55970760.000000000000000,169670.000000000000000,40.941873927800003,-90.350784651400005,56.115527938100001
2200,34786,400C100US34786,34786,"Greeley, CO",75,U,106675911.000000000000000,433064.000000000000000,40.409124973399997,-104.738558990000000,107.157333957000010
2201,51175,400C100US51175,51175,"Longmont, CO",75,U,68018973.000000000000000,1857077.000000000000000,40.169829189399998,-105.091900968000000,69.857001393900006
2202,90959,400C100US90959,90959,"Vistancia, AZ",76,C,6465746.000000000000000,543.000000000000000,33.747134319399997,-112.336020023000000,6.453421296400000
2203,46980,400C100US46980,46980,"Lake of the Woods--Pinetop-Lakeside, AZ",76,C,26399265.000000000000000,543032.000000000000000,34.133376711099999,-109.953209587000000,26.945773695500002
2204,00676,400C100US00676,00676,"Air Force Academy, CO",76,C,6458441.000000000000000,0.000000000000000,38.994053700499997,-104.872037652000000,6.531553694210000
2205,31478,400C100US31478,31478,"Fraser, CO",76,C,5787267.000000000000000,0.000000000000000,39.933623436500000,-105.800155812000000,5.746133116940000
2206,29170,400C100US29170,29170,"Farmerville, LA",76,C,12937849.000000000000000,0.000000000000000,32.779905439799997,-92.402204396800002,13.063296784000000
2207,24634,400C100US24634,24634,"Dowagiac, MI",76,C,9032422.000000000000000,88865.000000000000000,41.981898570100000,-86.109531607799994,9.028095449460000
2208,52930,400C100US52930,52930,"McRae, GA",76,C,13600266.000000000000000,116151.000000000000000,32.062461696600003,-82.890750348500006,13.739968904400000
2209,26362,400C100US26362,26362,"Elberton, GA",76,C,13517575.000000000000000,41961.000000000000000,34.109734087200003,-82.870453726099996,13.548242443700000
2210,23419,400C100US23419,23419,"Denison, IA",76,C,11192116.000000000000000,15184.000000000000000,42.018264932900003,-95.342496495299997,11.196315537800000
2211,45316,400C100US45316,45316,"Kingsville, TX",76,C,25075797.000000000000000,46494.000000000000000,27.505550476900002,-97.865159008600003,25.154651607400002
2212,22096,400C100US22096,22096,"Danbury, CT--NY",75,U,341101924.000000000000000,9933111.000000000000000,41.472825512100002,-73.421091517600004,350.586772801000000
2213,80740,400C100US80740,80740,"Seville, OH",76,C,17841544.000000000000000,3989.000000000000000,41.020927158399999,-81.893855048099994,17.801473350199998
2214,32815,400C100US32815,32815,"Geneva, AL",76,C,6023433.000000000000000,50261.000000000000000,31.036520426799999,-85.879446234100001,6.057454219950000
2215,54901,400C100US54901,54901,"Marseilles, IL",76,C,5244822.000000000000000,122522.000000000000000,41.332102541099999,-88.705460907399996,5.357875633750000
2216,74989,400C100US74989,74989,"Rincon, GA",76,C,21286741.000000000000000,14197.000000000000000,32.279958160900001,-81.224406389300000,21.316847150600001
2217,76582,400C100US76582,76582,"Royston, GA",76,C,7209353.000000000000000,42257.000000000000000,34.288099270399996,-83.119367143100007,7.236290215350000
2218,84817,400C100US84817,84817,"Sterling, IL",76,C,37018290.000000000000000,1561197.000000000000000,41.789860173299999,-89.701113596300004,38.517144670699999
2219,10135,400C100US10135,10135,"Bridgeport, TX",76,C,8784798.000000000000000,0.000000000000000,33.214412030799998,-97.759133024400001,8.754238008030001
2220,08218,400C100US08218,08218,"Blanchester, OH",76,C,7540834.000000000000000,254694.000000000000000,39.290409267100003,-83.981221147400007,7.786150522600000
2221,95860,400C100US95860,95860,"Wilmington, OH",76,C,14189277.000000000000000,78156.000000000000000,39.440411338499999,-83.824518760499998,14.308214762300000
2222,20476,400C100US20476,20476,"Coshocton, OH",76,C,13563755.000000000000000,110801.000000000000000,40.268039630499999,-81.861893108999993,13.597987046800000
2223,84115,400C100US84115,84115,"Springs, NY",76,C,35927938.000000000000000,148052.000000000000000,40.999247566999998,-72.149221295600000,35.993349584500002
2224,87625,400C100US87625,87625,"Tifton, GA",76,C,45925935.000000000000000,737505.000000000000000,31.450518953400000,-83.506773827700002,46.620300330299997
2225,56197,400C100US56197,56197,"Mendota, IL",76,C,7282146.000000000000000,70458.000000000000000,41.546547644100002,-89.115903620099999,7.353313400440000
2226,67564,400C100US67564,67564,"Paris, TX",76,C,40360706.000000000000000,225619.000000000000000,33.664267557999999,-95.530049295900000,40.526309347000002
2227,13510,400C100US13510,13510,"Cape Coral, FL",75,U,855248498.000000000000000,107112669.000000000000000,26.593294175600001,-81.840538138300005,959.082203868999950
2228,53686,400C100US53686,53686,"Manchester, IA",76,C,6846449.000000000000000,0.000000000000000,42.493280003000002,-91.453417962499998,6.889542207140000
2229,43048,400C100US43048,43048,"Jerome, ID",76,C,11478677.000000000000000,0.000000000000000,42.723512501700000,-114.523550370000000,11.388338446100001
2230,14860,400C100US14860,14860,"Celina, OH",76,C,11761386.000000000000000,100975.000000000000000,40.551438030400000,-84.560087171800006,11.907710189800000
